file,level,observe_count,activation_count,mean_observe_per_activation
u1769713424200.csv,sm311_1,29,1,29.0
u1769713424200.csv,sm321_1,12,1,12.0
u1769713424200.csv,sm331_2,16,1,16.0
u1769713424200.csv,sm351_2,10,1,10.0
u1769713424200.csv,sm411_1,13,1,13.0
u1769713424200.csv,sm421_1,10,1,10.0
u1769713424200.csv,sm432_1,10,1,10.0
u1769713424200.csv,sm531_1,8,1,8.0
u1769713424200.csv,sm541_1,12,1,12.0
u1769713424200.csv,sm612_1,11,1,11.0
u1769713936110.csv,comprehension_check,0,1,0.0
u1769713936110.csv,experiment,0,1,0.0
u1769713936110.csv,s111_1,0,1,0.0
u1769713936110.csv,sm111_1,15,1,15.0
u1769713936110.csv,sm112_1,34,1,34.0
u1769713936110.csv,sm211_1,2,1,2.0
u1769713936110.csv,sm221_2,4,1,4.0
u1769713936110.csv,sm331_2,7,1,7.0
u1769713936110.csv,sm341_1,11,1,11.0
u1769713936110.csv,sm361_1,10,1,10.0
u1769713936110.csv,sm371_1,0,1,0.0
u1769713936110.csv,sm432_2,16,1,16.0
u1769713936110.csv,sm511_1,9,1,9.0
u1769713936110.csv,sm521_2,12,1,12.0
u1769713936110.csv,sm611_2,8,1,8.0
u1769714267472.csv,comprehension_check,0,1,0.0
u1769714267472.csv,experiment,0,1,0.0
u1769714267472.csv,s111_1,0,1,0.0
u1769714267472.csv,sm111_1,15,1,15.0
u1769714267472.csv,sm112_1,9,1,9.0
u1769714267472.csv,sm211_1,5,1,5.0
u1769714267472.csv,sm321_1,17,1,17.0
u1769714267472.csv,sm331_1,6,1,6.0
u1769714267472.csv,sm341_2,11,1,11.0
u1769714267472.csv,sm351_2,9,1,9.0
u1769714267472.csv,sm411_2,7,1,7.0
u1769714267472.csv,sm421_1,10,1,10.0
u1769714267472.csv,sm432_1,9,1,9.0
u1769714267472.csv,sm543_1,0,1,0.0
u1769714267472.csv,sm612_2,11,1,11.0
u1769716952662.csv,comprehension_check,0,1,0.0
u1769716952662.csv,experiment,0,1,0.0
u1769716952662.csv,s111_1,0,1,0.0
u1769716952662.csv,sm111_1,17,1,17.0
u1769716952662.csv,sm112_1,31,1,31.0
u1769716952662.csv,sm211_1,17,1,17.0
u1769716952662.csv,sm221_2,4,1,4.0
u1769716952662.csv,sm331_2,6,1,6.0
u1769716952662.csv,sm341_1,13,1,13.0
u1769716952662.csv,sm361_1,16,1,16.0
u1769716952662.csv,sm371_1,14,1,14.0
u1769716952662.csv,sm432_2,17,1,17.0
u1769716952662.csv,sm511_1,23,1,23.0
u1769716952662.csv,sm521_2,12,1,12.0
u1769716952662.csv,sm611_2,12,1,12.0
u1769713966709.csv,comprehension_check,0,1,0.0
u1769713966709.csv,experiment,0,1,0.0
u1769713966709.csv,s111_1,0,1,0.0
u1769713966709.csv,sm111_1,8,1,8.0
u1769713966709.csv,sm112_1,7,1,7.0
u1769713966709.csv,sm221_1,2,1,2.0
u1769713966709.csv,sm311_2,8,1,8.0
u1769713966709.csv,sm371_2,0,1,0.0
u1769713966709.csv,sm431_1,6,1,6.0
u1769713966709.csv,sm511_2,13,1,13.0
u1769713966709.csv,sm521_1,22,1,22.0
u1769713966709.csv,sm531_2,12,1,12.0
u1769713966709.csv,sm541_1,12,1,12.0
u1769713966709.csv,sm543_2,0,1,0.0
u1769713966709.csv,sm611_2,8,1,8.0
u1769713430360.csv,comprehension_check,0,1,0.0
u1769713430360.csv,experiment,0,1,0.0
u1769713430360.csv,s111_1,0,1,0.0
u1769713430360.csv,sm111_1,0,1,0.0
u1769713430360.csv,sm112_1,1,1,1.0
u1769713430360.csv,sm321_1,13,1,13.0
u1769713430360.csv,sm331_1,0,1,0.0
u1769713430360.csv,sm341_2,8,1,8.0
u1769713430360.csv,sm371_1,0,1,0.0
u1769713430360.csv,sm411_1,4,1,4.0
u1769713430360.csv,sm432_1,0,1,0.0
u1769713430360.csv,sm531_2,0,1,0.0
u1769713430360.csv,sm541_1,0,1,0.0
u1769713430360.csv,sm543_1,0,1,0.0
u1769713430360.csv,sm612_1,14,1,14.0
u1769717152143.csv,comprehension_check,0,1,0.0
u1769717152143.csv,experiment,0,1,0.0
u1769717152143.csv,s111_1,0,1,0.0
u1769717152143.csv,sm111_1,26,1,26.0
u1769717152143.csv,sm112_1,0,1,0.0
u1769717152143.csv,sm221_1,0,1,0.0
u1769717152143.csv,sm311_2,0,1,0.0
