file,level,observe_count,agent2_count,agent3_count,activation_count,mean_observe_per_activation
u1770138243344.csv,sm311_2,3,3,0,1,3.0
u1770138243344.csv,sm321_2,18,0,18,1,18.0
u1770138243344.csv,sm331_1,7,0,7,1,7.0
u1770138243344.csv,sm371_2,0,0,0,1,0.0
u1770138243344.csv,sm411_2,5,5,0,1,5.0
u1770138243344.csv,sm431_1,6,6,0,1,6.0
u1770138243344.csv,sm531_2,9,1,8,1,9.0
u1770138243344.csv,sm543_2,0,0,0,1,0.0
u1770138243344.csv,sm612_2,13,2,11,1,13.0
u1770053417077.csv,comprehension_check,0,0,0,1,0.0
u1770053417077.csv,experiment,0,0,0,1,0.0
u1770053417077.csv,s111_1,0,0,0,1,0.0
u1770053417077.csv,sm111_1,0,0,0,1,0.0
u1770053417077.csv,sm112_1,1,1,0,1,1.0
u1770053417077.csv,sm211_2,5,0,5,1,5.0
u1770053417077.csv,sm311_1,2,1,1,1,2.0
u1770053417077.csv,sm321_2,9,0,9,1,9.0
u1770053417077.csv,sm351_1,9,0,9,1,9.0
u1770053417077.csv,sm361_2,4,4,0,1,4.0
u1770053417077.csv,sm421_2,11,11,0,1,11.0
u1770053417077.csv,sm431_2,10,1,9,1,10.0
u1770053417077.csv,sm531_1,3,3,0,1,3.0
u1770053417077.csv,sm541_2,13,1,12,1,13.0
u1770053417077.csv,sm611_1,7,7,0,1,7.0
u1770058556402.csv,comprehension_check,0,0,0,1,0.0
u1770058556402.csv,experiment,0,0,0,1,0.0
u1770058556402.csv,s111_1,0,0,0,1,0.0
u1770058556402.csv,sm111_1,14,14,0,1,14.0
u1770058556402.csv,sm112_1,10,5,5,1,10.0
u1770058556402.csv,sm211_2,4,0,4,1,4.0
u1770058556402.csv,sm311_1,10,0,10,1,10.0
u1770058556402.csv,sm321_2,0,0,0,1,0.0
u1770058556402.csv,sm351_1,6,6,0,1,6.0
u1770058556402.csv,sm361_2,5,5,0,1,5.0
u1770058556402.csv,sm421_2,18,3,15,1,18.0
u1770058556402.csv,sm431_2,0,0,0,1,0.0
u1770058556402.csv,sm531_1,3,3,0,1,3.0
u1770058556402.csv,sm541_2,13,1,12,1,13.0
u1770058556402.csv,sm611_1,2,2,0,1,2.0
u1770140090938.csv,comprehension_check,0,0,0,1,0.0
u1770140090938.csv,experiment,0,0,0,1,0.0
u1770140090938.csv,s111_1,0,0,0,1,0.0
u1770140090938.csv,sm111_1,12,0,12,1,12.0
u1770140090938.csv,sm112_1,14,1,13,1,14.0
u1770140090938.csv,sm211_2,5,0,5,1,5.0
u1770140090938.csv,sm341_2,4,0,4,1,4.0
u1770140090938.csv,sm351_1,12,0,12,1,12.0
u1770140090938.csv,sm361_1,11,1,10,1,11.0
u1770140090938.csv,sm421_2,15,1,14,1,15.0
u1770140090938.csv,sm431_2,11,1,10,1,11.0
u1770140090938.csv,sm511_1,21,0,21,1,21.0
u1770140090938.csv,sm521_2,10,10,0,1,10.0
u1770140090938.csv,sm543_1,0,0,0,1,0.0
u1770140090938.csv,sm611_1,2,2,0,1,2.0
u1770060387016.csv,comprehension_check,0,0,0,1,0.0
u1770060387016.csv,experiment,0,0,0,1,0.0
u1770060387016.csv,s111_1,0,0,0,1,0.0
u1770060387016.csv,sm111_1,12,12,0,1,12.0
u1770060387016.csv,sm112_1,30,17,13,1,30.0
u1770060387016.csv,sm221_1,8,8,0,1,8.0
u1770060387016.csv,sm311_2,3,3,0,1,3.0
u1770060387016.csv,sm371_2,0,0,0,1,0.0
u1770060387016.csv,sm431_1,9,0,9,1,9.0
u1770060387016.csv,sm511_2,13,13,0,1,13.0
u1770060387016.csv,sm521_1,20,1,19,1,20.0
u1770060387016.csv,sm531_2,10,1,9,1,10.0
u1770060387016.csv,sm541_1,12,0,12,1,12.0
u1770060387016.csv,sm543_2,1,1,0,1,1.0
u1770060387016.csv,sm611_2,10,0,10,1,10.0
u1770051562325.csv,comprehension_check,0,0,0,1,0.0
u1770051562325.csv,experiment,0,0,0,1,0.0
u1770051562325.csv,s111_1,0,0,0,1,0.0
u1770051562325.csv,sm111_1,16,0,16,1,16.0
u1770051562325.csv,sm112_1,12,7,5,1,12.0
