Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
68e44a8adbe927743114a57b,663abed88723950daa2012ce,APPROVED,Not Applicable,2025-10-06T23:02:42.235000Z,2025-10-06T23:15:43.065000Z,2025-10-08T04:13:29.335000Z,2025-10-06T23:15:43.485610Z,781.0,C6DFNH2C,1326,English,26,Male,White,United States,United States,United States,English,No,Full-Time
68e44b509681d39146070e77,5c7e764fa7432a00169e1499,APPROVED,Not Applicable,2025-10-06T23:06:34.784000Z,2025-10-06T23:23:25.999000Z,2025-10-08T04:13:29.619000Z,2025-10-06T23:23:30.744102Z,1012.0,C6DFNH2C,3595,English,47,Male,Black,United States,United States,United States,English,No,Full-Time
68e44b8097168cdad01a247e,66ac261efa487682e38c3024,APPROVED,Not Applicable,2025-10-06T23:06:40.808000Z,2025-10-06T23:46:51.764000Z,2025-10-08T04:13:30.041000Z,2025-10-06T23:46:53.806452Z,2411.0,NOCODE,1342,English,61,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e44ba7cd08b37eb2482146,5e8aa4d80eac7e756a72f478,APPROVED,Not Applicable,2025-10-06T23:07:22.273000Z,2025-10-06T23:19:42.507000Z,2025-10-08T04:13:30.417000Z,2025-10-06T23:19:46.634830Z,741.0,C6DFNH2C,3417,"Spanish, English",32,Male,White,United States,United States,United States,Spanish,DATA_EXPIRED,DATA_EXPIRED
68e458b882d4a4866ddd2a7b,67dd46602623d4bf857f7fa2,APPROVED,Not Applicable,2025-10-07T00:03:16.493000Z,2025-10-07T00:21:29.217000Z,2025-10-08T04:13:30.724000Z,2025-10-07T00:21:29.880982Z,1093.0,C6DFNH2C,1315,English,28,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
68e447485c0c6b68c3d0f470,664fc88e589ceacc92930e9d,RETURNED,Not Applicable,2025-10-06T22:48:44.493000Z,,,,,,4303,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e447bd453f9c84f81978df,650d9240b7f9fcecaf1f9656,RETURNED,Not Applicable,2025-10-06T22:50:42.577000Z,,,,,,3457,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e4492132a3bd585aa3ea7c,5d18251e19c4900016c01035,RETURNED,Not Applicable,2025-10-06T22:56:37.241000Z,,,,,,5931,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e44e4fcb82b84f4add238d,62e0532289a4e5d9fedadde1,RETURNED,Not Applicable,2025-10-06T23:19:19.959000Z,,,,,,11019,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e44ed232a3bd585aa3eadb,6527f153bea7b2d7c0d556e4,RETURNED,Not Applicable,2025-10-06T23:20:50.046000Z,,,,,,4208,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e451d6d0dbc39eac6828b3,59d8ae913e5ea00001e1d05f,RETURNED,Not Applicable,2025-10-06T23:36:47.111000Z,,,,,,9560,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
68e454fcf83cdcfcb49c18b2,67e5839a12163b1c6e7f933c,RETURNED,Not Applicable,,,,,,,283,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
