participant_code,exam_score,exam_results,stimuli_set,total_payment,total_reward,prolific_id
1706036549826,4,"Bool[1, 0, 1, 1, 1]","[9, 13, 2, 6, 4, 17, 7, 11, 15]",0.47,9.4,5eced9328405902eef967571
1706036556939,2,"Bool[1, 0, 0, 1, 0]","[12, 3, 18, 4, 1, 9, 14, 16, 7]",0.51,10.2,61bb389740db417c1a138cad
1706036514653,5,"Bool[1, 1, 1, 1, 1]","[10, 17, 2, 16, 6, 5, 14, 8, 12]",0.49,9.8,5dd4a7c9c0823f494b158668
1706037117582,5,"Bool[1, 1, 1, 1, 1]","[11, 18, 7, 1, 13, 3, 9, 16, 4]",0.58,11.6,5d4a41890e604c00011ade8b
1706036570864,5,"Bool[1, 1, 1, 1, 1]","[1, 18, 15, 3, 13, 11, 4, 7, 9]",0.64,12.8,5dec8925be656d35d4005320
1706036583347,3,"Bool[1, 0, 0, 1, 1]","[5, 3, 1, 12, 18, 8, 10, 14, 16]",0.28,5.6,64345edc0fd9813bdd9ef181
1706036540675,3,"Bool[1, 1, 0, 1, 0]","[6, 10, 17, 14, 12, 5, 2, 8, 15]",0.38,7.5,646bf9533847a5cbaac4825c
1706036504128,5,"Bool[1, 1, 1, 1, 1]","[6, 10, 17, 14, 12, 5, 2, 8, 15]",0.55,11.0,604196269c9962199e6dd85c
1706037847761,2,"Bool[0, 0, 0, 1, 1]","[10, 17, 2, 16, 6, 5, 14, 8, 12]",0.5,10.0,6341a541b6cfd5f8933f48c4
1706036729793,4,"Bool[1, 1, 1, 1, 0]","[12, 3, 18, 4, 1, 9, 14, 16, 7]",0.51,10.2,61539b3fa541b182c0fadde1
1706038083407,3,"Bool[1, 0, 1, 1, 0]","[16, 8, 18, 12, 6, 10, 5, 1, 14]",0.33,6.5,5f2047f472c1fd2eaf643c64
1706036577920,2,"Bool[1, 1, 0, 0, 0]","[16, 8, 18, 12, 6, 10, 5, 1, 14]",0.52,10.3,5ea237d872cd2a144b99a177
