participant_code,plan_id,step,timestep,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4,true_goal_probs,statement_ratings_1,statement_ratings_2,statement_probs_1,statement_probs_2,reward,goal_reward,time_spent
1705958870040,1_1,1,4,0.0,0.5,0.0,0.5,0.5,4.0,5.0,0.5,0.6666666666666666,0.5,,25.586
1705958870040,1_1,2,6,0.0,0.5,0.0,0.5,0.5,1.0,7.0,0.0,1.0,0.5,,39.732
1705958870040,1_3,1,16,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.5,0.5,1.0,,24.983
1705958870040,1_3,2,19,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.5,1.0,,45.35
1705958870040,1_3,3,21,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,1.0,1.0,,55.585
1705958870040,2_1,1,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,4.0,4.0,0.5,0.5,0.3333333333333333,,21.082
1705958870040,2_1,2,10,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,7.0,1.0,1.0,0.0,0.3333333333333333,,36.683
1705958870040,4_2,1,6,1.0,0.0,0.0,0.0,0.0,4.0,4.0,0.5,0.5,0.0,,24.417
1705958870040,4_2,2,9,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,41.133
1705958870040,5_2,1,3,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.0,4.0,0.5,0.5,0.3333333333333333,,30.869
1705958870040,5_2,2,10,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.0,4.0,0.5,0.5,0.3333333333333333,,48.218
1705958870040,5_2,3,14,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,2.0,6.0,0.16666666666666666,0.8333333333333334,0.3333333333333333,,63.706
1705958870040,6_2,1,5,0.0,0.5,0.5,0.0,0.5,4.0,4.0,0.5,0.5,0.5,,20.4
1705958870040,6_2,2,9,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.3333333333333333,0.16666666666666666,0.0,,36.899
1705958870040,6_2,3,15,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,47.183
1705958870040,7_2,1,3,0.0,0.0,0.5,0.5,0.5,5.0,5.0,0.6666666666666666,0.6666666666666666,0.5,,21.936
1705958870040,7_2,2,7,0.0,0.0,1.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,,33.72
1705958870040,8_2,1,5,0.5,0.5,0.0,0.0,0.0,4.0,4.0,0.5,0.5,0.0,,24.267
1705958870040,8_2,2,8,0.0,0.0,1.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,,40.954
